"","site_name","site_code","otter_region","latitude_N","longitude_E","layer_number","layer_thickness_cm","layer_volume_cm3","na.rm","dry_bulk_density","organic_dw_g","inorganic_dw_g","layer_depth_cm","organic_dw_percent","inorganic_dw_percent","organic_density","inorganic_density"
"108","Naukati Bay a","H_05_a","High",55.862405,-133.190722,1,1.4,27.4889357189107,TRUE,0.873387760279262,0.802530000000001,NA,0,3.53902260479967,NA,0.700919879256917,NA
"109","Naukati Bay a","H_05_a","High",55.862405,-133.190722,2,1.2,23.5619449019235,TRUE,0.972738884476764,0.77683,0.84695,2,3.61908630917302,5.4796000626277,0.755652747628085,0.823861198207595
"110","Naukati Bay a","H_05_a","High",55.862405,-133.190722,3,1.6,31.4159265358979,TRUE,0.862073253483495,0.883150000000001,NA,4,3.45542785642573,NA,0.761339993813949,NA
"111","Naukati Bay a","H_05_a","High",55.862405,-133.190722,4,1.4,27.4889357189107,TRUE,1.04402586893376,0.959340000000005,NA,6,3.54399254954014,NA,1.00157577710292,NA
"112","Naukati Bay a","H_05_a","High",55.862405,-133.190722,5,1.2,23.5619449019235,TRUE,0.865562672559137,0.911449999999999,NA,8,4.74479514531113,NA,0.788917097904024,NA
"113","Naukati Bay a","H_05_a","High",55.862405,-133.190722,6,1.3,25.5254403104171,TRUE,0.890877874130918,1.17879,NA,10,5.5100973343486,NA,1.05015792924678,NA
"114","Naukati Bay a","H_05_a","High",55.862405,-133.190722,7,1.5,29.4524311274043,TRUE,0.95469470341405,1.42955,0.705850000000005,12,5.3297984030924,2.7794469379028,1.36478381326555,0.673871256404812
"115","Naukati Bay a","H_05_a","High",55.862405,-133.190722,8,1.4,27.4889357189107,TRUE,0.923176883219312,1.31875,NA,14,5.45259313959383,NA,1.21743951474547,NA
"116","Naukati Bay a","H_05_a","High",55.862405,-133.190722,9,1.3,25.5254403104171,TRUE,1.00299503901414,1.25803000000001,NA,16,5.16517490556744,NA,1.26179784893097,NA
"117","Naukati Bay a","H_05_a","High",55.862405,-133.190722,10,1.4,27.4889357189107,TRUE,1.00865563816374,1.44955,NA,18,5.51645479441212,NA,1.46209678030026,NA
"118","Naukati Bay a","H_05_a","High",55.862405,-133.190722,11,1.4,27.4889357189107,TRUE,0.715753792769234,1.62314,NA,20,8.78178523759362,NA,1.16176861119545,NA
"119","Naukati Bay a","H_05_a","High",55.862405,-133.190722,12,1.3,25.5254403104171,TRUE,0.698368364393113,1.26553,0.811729999999997,22,7.58039339242567,3.92763585092082,0.883806116190417,0.56688655242882
"120","Naukati Bay a","H_05_a","High",55.862405,-133.190722,13,1.3,25.5254403104171,TRUE,0.861645077715826,1.22156,NA,24,5.93074070172049,NA,1.05255116113454,NA
"121","Naukati Bay a","H_05_a","High",55.862405,-133.190722,14,1.4,27.4889357189107,TRUE,0.965325113760044,1.02127,NA,26,4.06443915220942,NA,0.985857578929721,NA
"122","Naukati Bay a","H_05_a","High",55.862405,-133.190722,15,1.4,27.4889357189107,TRUE,1.01496872360927,1.12823,NA,28,4.2472350602529,NA,1.14511816303769,NA
"123","Naukati Bay a","H_05_a","High",55.862405,-133.190722,16,1.5,29.4524311274043,TRUE,1.04968482453165,1.20526,NA,30,4.12749531176586,NA,1.26514313161502,NA
"124","Guktu Cove a","H_06_a","High",55.739816,-133.312022,1,1.3,25.5254403104171,TRUE,0.757352263659507,2.50945,NA,0,12.9809768903488,NA,1.90053763804035,NA
"125","Guktu Cove a","H_06_a","High",55.739816,-133.312022,2,1.1,21.5984494934298,TRUE,0.952210481880016,1.96668,2.69046,2,9.56264796679223,12.9478205421274,1.87269331050379,2.56188421307891
"126","Guktu Cove a","H_06_a","High",55.739816,-133.312022,3,1.1,21.5984494934298,TRUE,1.01619933443262,2.39535,NA,4,10.9135865917817,NA,2.43415307573318,NA
"127","Guktu Cove a","H_06_a","High",55.739816,-133.312022,4,1.1,21.5984494934298,TRUE,1.02080429461878,2.27653,NA,6,10.3254339777365,NA,2.32389160082849,NA
"128","Guktu Cove a","H_06_a","High",55.739816,-133.312022,5,1.1,21.5984494934298,TRUE,1.03396403555697,2.15956,NA,8,9.67024030965402,NA,2.2329073726274,NA
"129","Guktu Cove a","H_06_a","High",55.739816,-133.312022,6,0.9,17.6714586764426,TRUE,0.928017335765366,0.946740000000004,NA,10,5.77300904544187,NA,0.878591132462506,NA
"130","Guktu Cove a","H_06_a","High",55.739816,-133.312022,7,1.3,25.5254403104171,TRUE,1.0148451773985,1.14126,4.30907,12,4.40566591660017,15.8478731867095,1.15820220715781,4.37303890857255
"131","Guktu Cove a","H_06_a","High",55.739816,-133.312022,8,1.1,21.5984494934298,TRUE,0.937513593564187,0.855650000000001,NA,14,4.22567416207546,NA,0.802183506333198,NA
"132","Guktu Cove a","H_06_a","High",55.739816,-133.312022,9,1.1,21.5984494934298,TRUE,1.02302760236199,0.92531,NA,16,4.18771703775512,NA,0.94661767074157,NA
"133","Guktu Cove a","H_06_a","High",55.739816,-133.312022,10,1.1,21.5984494934298,TRUE,0.97781046766456,1.05051,NA,18,4.97419645355716,NA,1.0271996743863,NA
"134","Guktu Cove a","H_06_a","High",55.739816,-133.312022,11,1.1,21.5984494934298,TRUE,1.02277665842262,2.47484,NA,20,11.2032426770193,NA,2.53120858533065,NA
"135","Guktu Cove a","H_06_a","High",55.739816,-133.312022,12,1.2,23.5619449019235,TRUE,1.16671438263808,2.45797,3.7103,22,8.94130460246358,13.7082817928835,2.86774895109291,4.32886037390206
"136","Guktu Cove a","H_06_a","High",55.739816,-133.312022,13,1.1,21.5984494934298,TRUE,1.25601654916258,2.23819,NA,24,8.25047616835883,NA,2.81120368017019,NA
"137","Guktu Cove a","H_06_a","High",55.739816,-133.312022,14,1.2,23.5619449019235,TRUE,1.10321962419486,2.28957,NA,26,8.80807109332924,NA,2.52589855496783,NA
"138","Guktu Cove a","H_06_a","High",55.739816,-133.312022,15,1.1,21.5984494934298,TRUE,1.06626033535442,2.20613,NA,28,9.57955359131759,NA,2.35230891363545,NA
"139","Guktu Cove a","H_06_a","High",55.739816,-133.312022,16,1.1,21.5984494934298,TRUE,0.920234575451636,3.62603,NA,30,18.243588634127,NA,3.3367981776249,NA
"140","Guktu Cove a","H_06_a","High",55.739816,-133.312022,17,1,19.6349540849362,TRUE,0.937350804100941,2.18355,3.03151,32,11.8639988177023,16.4351976093549,2.04675234829461,2.84158833614005
"141","Guktu Cove a","H_06_a","High",55.739816,-133.312022,18,1.3,25.5254403104171,TRUE,0.930626453887481,2.43493,NA,34,10.2503299354021,NA,2.26601027136425,NA
"142","Guktu Cove a","H_06_a","High",55.739816,-133.312022,19,1,19.6349540849362,TRUE,0.82513307288198,2.16379,NA,36,13.3555329924173,NA,1.7854146917713,NA
"143","Guktu Cove a","H_06_a","High",55.739816,-133.312022,20,1.3,25.5254403104171,TRUE,0.890598544963104,1.60076,NA,38,7.04159430464719,NA,1.42563452683514,NA
"144","Guktu Cove a","H_06_a","High",55.739816,-133.312022,21,0.9,17.6714586764426,TRUE,0.978727354468835,2.58487,NA,40,14.9452980363724,NA,2.52988297674586,NA
